text,label
唉，被抛弃了,loneliness
痛苦得睡不着,sadness
心里空空的,sadness
一直在想，控制不住,anxiety
好孤单,loneliness
一点力气都没有...,exhaustion
不敢闭上眼睛,fear
怕一个人,fear
世界上只有我一个人,loneliness
绝望到极点...,sadness
不太敢...,fear
唉，心跳得好快，停不下来,anxiety
唉，没力气,exhaustion
特别恼火,anger
唉，不太爽,anger
很孤独,loneliness
唉，绝望到极点,sadness
热闹是他们的，我什么都没有,loneliness
不太敢,fear
没力气,exhaustion
唉，有点烦躁,anger
紧张得手心出汗,anxiety
恐惧感淹没了一切,fear
感觉卡住了...,frustration
唉，还行,neutral
没什么特别的...,neutral
没什么精神,sadness
心情不太好,sadness
感觉很委屈,sadness
还行,neutral
彻底孤独,loneliness
感觉自己像个透明人,loneliness
唉，愤怒到极点,anger
完全不行,frustration
被所有人遗忘,loneliness
唉，心里有点不安,anxiety
疲倦...,exhaustion
很难受，脑子停不下来,anxiety
被抛弃了,loneliness
我快喘不过气来了,anxiety
越想越气...,anger
恐惧,fear
一切都失去了意义...,sadness
还好...,neutral
怕黑...,fear
脑子里一直在想事情,anxiety
连哭都没力气了,exhaustion
身体被掏空...,exhaustion
有点郁闷,sadness
愤怒到极点,anger
有点难过,sadness
唉，一点力气都没有,exhaustion
觉得自己一无是处,frustration
感觉要窒息了,anxiety
唉，今天挺正常的,neutral
没人理解,loneliness
气得浑身发抖,anger
唉，还好,neutral
累极了...,exhaustion
气死了,anger
唉，我快喘不过气来了,anxiety
就这样吧,neutral
唉，没什么特别的,neutral
精疲力尽...,exhaustion
 terrified,fear
今天挺正常的,neutral
很生气,anger
开心不起来,sadness
什么都不想做，就这样躺着,sadness
还好,neutral
还行...,neutral
疲倦,exhaustion
累到极限...,exhaustion
进展不顺利...,frustration
愤怒到极点...,anger
感觉要崩溃了,anxiety
活着好辛苦,sadness
唉，疲倦,exhaustion
觉得活着没意思,sadness
唉，精疲力尽,exhaustion
有点烦躁...,anger
气死了...,anger
完全动不了,exhaustion
感觉一个人,loneliness
肩膀一直绷着，放松不了,anxiety
身体被掏空,exhaustion
所有的努力都白费了,frustration
有点发愁,anxiety
心里有点怕,fear
越想越气,anger
有点烦,anger
唉，越想越气,anger
挺寂寞的,loneliness
今天挺正常的...,neutral
为什么总是我,frustration
努力了很久还是没有结果,frustration
被抛弃了...,loneliness
精力不够,exhaustion
唉，担心发生不好的事,fear
担心睡不着,anxiety
精疲力尽,exhaustion
很难过，忍不住想哭...,sadness
唉，气死了,anger
痛苦得睡不着...,sadness
心里有点不安,anxiety
唉，感觉卡住了,frustration
特别恼火...,anger
唉， terrified,fear
心跳得好快，停不下来...,anxiety
睁着眼到天亮,anxiety
非常不满...,anger
没有活下去的动力了...,sadness
有点害怕,fear
唉，没有活下去的动力了,sadness
唉，累极了,exhaustion
绝望到极点,sadness
有点担心明天的事情,anxiety
有点累,exhaustion
静不下心来,anxiety
怕得要死,fear
身体和心灵都枯竭了,exhaustion
担心发生不好的事,fear
心里不舒服,anger
没人会记得我吧,loneliness
彻底失败了,frustration
没有人关心我,loneliness
不太爽...,anger
开心不起来...,sadness
感觉卡住了,frustration
有很强的失败感,frustration
已经尽力了，还是这样,frustration
说不上来,neutral
唉，不敢闭上眼睛,fear
做什么都没用,frustration
如果能一觉不醒就好了,sadness
唉，没人理解,loneliness
感觉失落,sadness
很害怕,fear
感觉无能为力,frustration
好难受,sadness
担心发生不好的事...,fear
永远不可能成功,frustration
最近比较丧,sadness
想砸东西,anger
怕黑,fear
一般,neutral
恨透了,anger
唉，痛苦得睡不着,sadness
有点烦，不知道怎么办,anxiety
非常不满,anger
唉，很难过，忍不住想哭,sadness
翻来覆去，越想越焦虑,anxiety
怕得要死...,fear
感觉有点紧张,anxiety
心跳得好快，停不下来,anxiety
有点烦躁,anger
累到极限,exhaustion
心里有点不安...,anxiety
为什么我做不到别人那样,frustration
胸口闷闷的，很难受,anxiety
 terrified...,fear
胸口像压了块石头,anxiety
一点力气都没有,exhaustion
不敢闭上眼睛...,fear
唉，累到极限,exhaustion
唉，怕得要死,fear
要疯了,anger
彻底崩溃了，什么都做不了,anxiety
我快喘不过气来了...,anxiety
唉，进展不顺利,frustration
唉，一切都失去了意义,sadness
唉，怕黑,fear
唉，开心不起来,sadness
唉，特别恼火,anger
没什么感觉,neutral
